ID,MeanH,MeanA,DrawProb,League,LeagueRanking,NeutralField,rbS.FinalScoreH,rbS.FinalScoreA
60843,1.312,0.928,NA,French 2,3,0,2,0
60848,1.96,1,0.24,Bundesliga,1,0,1,2
60853,1.496,1.384,0.278,Belgian,3,0,3,2
60888,1.396,1.334,NA,La Manga I.T,5,0,1,0
61358,1.427,1.113,NA,German Reg.,5,0,1,0
61363,1.321,1.179,NA,German Reg.,5,0,1,1
61368,1.185,1.314,NA,German Reg.,5,0,2,0
61373,1.37,1.12,NA,German Reg.,5,0,2,0
61378,1.432,1.228,NA,German Reg.,5,0,1,2
61383,1.118,1.082,NA,German Reg.,5,0,0,1
61388,1.951,0.949,NA,Cyprus 1st D,5,0,1,0
61398,2.163,0.866,NA,Cyprus 1st D,5,0,2,1
61403,1.76,1.55,NA,Ger.A.Jun.W,5,0,1,0
61408,1.406,1.254,0.282,Scot Premier,3,0,1,1
61418,1.381,0.929,0.269,Scot Premier,3,0,4,0
61423,2.26,0.76,0.17,Scot Premier,3,0,3,0
61433,1.514,0.846,0.267,Eng L1      ,3,0,2,0
61438,1.84,1.09,0.25,Eng L1      ,3,0,2,1
61443,0.948,1.791,0.251,Eng L1      ,3,0,0,2
61453,1.619,0.77,0.256,Eng L1      ,3,0,1,0
61458,1.482,0.998,0.273,Eng L1      ,3,0,4,0
61463,1.336,1.164,0.289,Eng L1      ,3,0,0,1
61473,1.291,1.109,0.295,Eng L1      ,3,0,1,1
61478,1.218,1.022,0.318,Eng. Chship,2,0,4,0
61483,1.669,0.891,0.276,Eng. Chship,2,0,2,1
61488,1.646,0.974,0.287,Eng. Chship,2,0,1,1
61498,2.692,0.478,0.123,Eng. FA Cup,2,0,1,2
61508,2.807,0.444,0.092,Eng. FA Cup,2,0,3,1
61513,1.383,0.967,0.3,Eng. FA Cup,2,0,2,0
61518,1.092,0.988,NA,So Africa PL,5,0,0,1
61533,1.272,0.888,NA,So Africa PL,5,0,2,0
61538,1.281,1.269,0.288,Bundesliga,1,0,1,0
61543,1.775,0.995,NA,Bundesliga,1,0,1,0
61548,1.474,1.406,0.288,Bundesliga,1,0,0,2
61553,2.409,0.771,NA,Bundesliga,1,0,2,0
61558,1.314,1.506,0.282,Bundesliga,1,0,2,2
61563,1.243,1.597,0.288,Bundesliga,1,0,2,3
61568,1.705,0.875,0.268,Serie B,2.5,0,1,0
61573,1.135,1.225,0.339,Serie B,2.5,0,0,0
61583,1.298,1.192,0.332,Serie B,2.5,0,1,2
61588,1.437,1.053,0.332,Serie B,2.5,0,1,1
61593,1.415,0.975,0.314,Serie B,2.5,0,0,0
61603,1.731,0.758,0.257,Serie B,2.5,0,2,0
61608,1.922,0.696,0.226,Serie B,2.5,0,2,0
61613,1.816,0.763,0.242,Serie B,2.5,0,2,0
61633,1.966,1.014,NA,Paulista,5,0,2,1
61638,0.804,1.345,NA,Czech,5,0,0,2
61643,1.291,0.719,NA,Czech,5,0,1,1
61648,0.971,1.338,NA,French 1,1,0,1,0
61673,1.807,0.943,NA,Swiss,3,0,1,2
61678,1.22,1.13,0.309,Austrian,3,0,1,0
61683,2.064,0.585,0.198,Austrian,3,0,1,1
61688,0.93,1.509,NA,Serie A,1.5,0,0,0
61698,1.015,1.315,0.287,Austrian,3,0,0,2
61703,1.07,2.149,NA,Paulista,5,0,0,4
61708,1.849,1.261,NA,Paulista,5,0,3,2
